id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
0,04-11-2013,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.1,-1.03
1,14-05-2014,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,2.6,2.5
2,04-11-2014,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.35,-2.25
3,14-05-2015,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,2.52,2.17
4,04-11-2015,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.69,-1.83
5,14-05-2016,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,4.24,3.55
6,04-11-2016,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.15,-4.09
7,14-05-2017,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,3.08,2.93
8,04-11-2017,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.43,-2.65
9,04-04-2018,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.15,-0.28
10,21-11-2018,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.45,0.3
11,04-04-2019,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.12,-0.33
12,29-11-2019,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Laxmipur,13.28556,93.00306,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,1.47,1.35
13,04-11-2013,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,1.72,0.84
14,14-05-2014,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.58,-1.14
15,04-11-2014,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.22,-0.36
16,14-05-2015,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.91,0.69
17,14-05-2016,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.81,-0.1
18,04-11-2016,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,1.75,0.94
19,14-05-2017,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.73,-1.02
20,04-11-2017,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.63,-0.1
21,04-04-2018,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.47,-0.16
22,21-11-2018,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.68,0.21
23,04-04-2019,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.49,-0.19
24,29-11-2019,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Durgapur,13.23083,92.95528,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,1.31,0.82
25,14-05-2014,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Joypur,12.69917,92.88167,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,1.15,0.84
26,04-11-2014,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Joypur,12.69917,92.88167,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.6,-0.55
27,14-05-2015,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Joypur,12.69917,92.88167,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,2.71,2.11
28,04-11-2015,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Joypur,12.69917,92.88167,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.45,-2.26
29,04-11-2016,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Joypur,12.69917,92.88167,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.71,0.26
30,14-05-2017,Andaman And Nicobar Islands,35,North And Middle Andaman,632,Joypur,12.69917,92.88167,Drainage Area Of Andaman And Nicobar Islands Basin,Drainage Area Of Andaman And Nicobar Islands,CGWB,0.5,-0.21
